cell_id,latitude,longitude,scientific_name,species_slug,label,label_source,observation_count,source_dataset_count,example_occurrence_id,example_dataset_name,example_event_date
917:2842,1.75,104.25,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_257,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-25T07:23
921:2840,2.15,104.05,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_256,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-24T06:58
923:2839,2.35,103.95,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_255,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-23T20:40
924:2838,2.45,103.85,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_253,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-23T08:06
924:2839,2.45,103.95,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_254,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-23T09:46
925:2838,2.55,103.85,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_252,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-23T05:32
926:2838,2.65,103.85,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_251,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-22T18:23
930:2835,3.05,103.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_249,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-21T08:47
932:2836,3.25,103.65,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_248,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-20T18:52
934:2835,3.45,103.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_247,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-19T17:22
935:2835,3.55,103.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_245,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-19T06:15
936:2834,3.65,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_244,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-18T20:53
936:2835,3.65,103.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_246,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-19T07:50
937:2834,3.75,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_243,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-18T09:50
938:2847,3.85,104.75,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_207,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-08T07:36
939:2835,3.95,103.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_242,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-17T17:51
940:2834,4.05,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_241,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-17T08:33
940:2846,4.05,104.65,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_205,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-07T18:41
940:2847,4.05,104.75,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_206,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-07T20:45
941:2834,4.15,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_240,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-17T06:44
941:2845,4.15,104.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_203,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-07T09:04
941:2846,4.15,104.65,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_204,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-07T17:03
942:2842,4.25,104.25,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_200,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-06T18:52
943:2843,4.35,104.35,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_201,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-06T19:27
943:2844,4.35,104.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_199,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-06T17:16
945:2842,4.55,104.25,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_198,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-06T10:04
946:2834,4.65,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_234,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-15T07:06
946:2940,4.65,114.05,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_137,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-04T07:25
947:2938,4.75,113.85,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_134,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-03T16:11
947:2939,4.75,113.95,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_136,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-04T04:54
948:2834,4.85,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_233,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-14T20:41
948:2839,4.85,103.95,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_196,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-05T08:47
948:2936,4.85,113.65,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_133,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-03T06:44
949:2834,4.95,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_231,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-14T09:38
949:2838,4.95,103.85,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_193,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-04T09:01
949:2839,4.95,103.95,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_195,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-05T07:04
950:2833,5.05,103.35,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_230,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-14T07:20
950:2837,5.05,103.75,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,4,1,975_191,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-04T06:34
950:2838,5.05,103.85,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_194,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-04T17:44
950:2934,5.05,113.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_132,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-02T18:06
951:2833,5.15,103.35,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_229,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-14T05:37
951:2835,5.15,103.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_185,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-02T18:08
951:2836,5.15,103.65,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,5,1,975_186,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-02T20:47
951:2837,5.15,103.75,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_187,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-03T06:44
951:2932,5.15,113.25,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_130,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-02T06:31
952:2832,5.25,103.25,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_227,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-13T10:00
953:2831,5.35,103.15,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_226,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-12T21:25
953:2834,5.35,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_179,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-01T07:09
953:2835,5.35,103.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_181,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-01T18:14
953:2853,5.35,105.35,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_17,Satellite tracked green turtles in the South China Sea 1993-1994,1993-09-28T12:01
953:2922,5.35,112.25,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_121,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-30T07:13
953:2923,5.35,112.35,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_122,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-30T08:54
953:2925,5.35,112.55,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_123,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-30T16:48
953:2927,5.35,112.75,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_124,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-01T05:29
953:2928,5.35,112.85,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_126,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-01T08:30
953:2930,5.35,113.05,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_127,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-01T16:36
953:2931,5.35,113.15,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_129,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-01T19:32
953:2951,5.35,115.15,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,2,975_147,Satellite tracked green turtles in the South China Sea 1993-1994,1994-10-08T18:45
954:2831,5.45,103.15,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,3,1,975_319,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-19T20:32
954:2833,5.45,103.35,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_174,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-30T08:56
954:2834,5.45,103.45,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,2,1,975_175,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-30T16:51
955:2829,5.55,102.95,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_320,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-21T08:49
955:2830,5.55,103.05,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,3,1,975_317,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-19T07:55
955:2831,5.55,103.15,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_161,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-24T06:51
955:2833,5.55,103.35,Chelonia mydas,green_sea_turtle,1,OBIS_presence_grid,1,1,975_173,Satellite tracked green turtles in the South China Sea 1993-1994,1994-09-30T07:13
